"iter","m","uniform_cluster_size","seed"
1,30,100,528514
2,30,100,29731
3,30,100,325652
4,30,100,450185
5,30,100,329707
6,30,100,881766
7,30,100,748714
8,30,100,157694
9,30,100,249296
10,30,100,871187
11,30,100,148285
12,30,100,617521
13,30,100,706376
14,30,100,489638
15,30,100,735619
16,30,100,444324
17,30,100,686156
18,30,100,169978
19,30,100,576291
20,30,100,368559
21,30,100,649846
22,30,100,468217
23,30,100,511286
24,30,100,8654
25,30,100,695617
26,30,100,541126
27,30,100,614654
28,30,100,24618
29,30,100,772318
30,30,100,867729
31,30,100,879593
32,30,100,434871
33,30,100,404098
34,30,100,808863
35,30,100,39483
36,30,100,933829
37,30,100,294678
38,30,100,962202
39,30,100,652841
40,30,100,489487
41,30,100,450616
42,30,100,102338
43,30,100,151671
44,30,100,107055
45,30,100,427158
46,30,100,426398
47,30,100,140141
48,30,100,917280
49,30,100,763613
50,30,100,421452
51,30,100,452994
52,30,100,649255
53,30,100,760162
54,30,100,420662
55,30,100,491482
56,30,100,728779
57,30,100,70047
58,30,100,781075
59,30,100,601278
60,30,100,175501
61,30,100,645053
62,30,100,246012
63,30,100,737786
64,30,100,316278
65,30,100,47066
66,30,100,869675
67,30,100,63159
68,30,100,278795
69,30,100,669030
70,30,100,93077
71,30,100,215513
72,30,100,718322
73,30,100,188714
74,30,100,689371
75,30,100,352474
76,30,100,730140
77,30,100,700964
78,30,100,77800
79,30,100,481134
80,30,100,921365
81,30,100,3060
82,30,100,107698
83,30,100,435573
84,30,100,254477
85,30,100,302876
86,30,100,233
87,30,100,14579
88,30,100,618118
89,30,100,975196
90,30,100,725053
91,30,100,673539
92,30,100,595697
93,30,100,842165
94,30,100,152665
95,30,100,614848
96,30,100,693458
97,30,100,123292
98,30,100,832123
99,30,100,228372
100,30,100,681644
101,30,100,433099
102,30,100,795390
103,30,100,760028
104,30,100,395674
105,30,100,208056
106,30,100,708991
107,30,100,296203
108,30,100,373009
109,30,100,194288
110,30,100,327083
111,30,100,354917
112,30,100,375586
113,30,100,698041
114,30,100,650231
115,30,100,872038
116,30,100,20633
117,30,100,175425
118,30,100,152997
119,30,100,289086
120,30,100,50213
121,30,100,260451
122,30,100,791137
123,30,100,900956
124,30,100,330177
125,30,100,547619
126,30,100,951492
127,30,100,515044
128,30,100,175109
129,30,100,401495
130,30,100,588165
131,30,100,699988
132,30,100,476820
133,30,100,470438
134,30,100,105821
135,30,100,457665
136,30,100,750074
137,30,100,926044
138,30,100,204985
139,30,100,93654
140,30,100,902578
141,30,100,591438
142,30,100,357006
143,30,100,969570
144,30,100,355790
145,30,100,71283
146,30,100,622735
147,30,100,839117
148,30,100,155935
149,30,100,626022
150,30,100,664352
151,30,100,807628
152,30,100,427219
153,30,100,498886
154,30,100,664861
155,30,100,9867
156,30,100,583109
157,30,100,407478
158,30,100,92298
159,30,100,954651
160,30,100,265987
161,30,100,522843
162,30,100,724931
163,30,100,592817
164,30,100,332028
165,30,100,29017
166,30,100,77706
167,30,100,95876
168,30,100,515412
169,30,100,319968
170,30,100,336199
171,30,100,353472
172,30,100,241441
173,30,100,27838
174,30,100,476531
175,30,100,758942
176,30,100,315824
177,30,100,419242
178,30,100,572924
179,30,100,473371
180,30,100,395934
181,30,100,511941
182,30,100,374754
183,30,100,259555
184,30,100,860863
185,30,100,40633
186,30,100,245905
187,30,100,59545
188,30,100,481445
189,30,100,260424
190,30,100,229903
191,30,100,743697
192,30,100,900081
193,30,100,106751
194,30,100,463886
195,30,100,297805
196,30,100,726365
197,30,100,216864
198,30,100,314221
199,30,100,722984
200,30,100,993932
201,30,100,551800
202,30,100,598478
203,30,100,331559
204,30,100,285753
205,30,100,474535
206,30,100,811679
207,30,100,926409
208,30,100,18972
209,30,100,72743
210,30,100,552727
211,30,100,341436
212,30,100,838655
213,30,100,680925
214,30,100,783029
215,30,100,797475
216,30,100,842938
217,30,100,650778
218,30,100,555667
219,30,100,268101
220,30,100,245494
221,30,100,946177
222,30,100,12556
223,30,100,645780
224,30,100,2448
225,30,100,727564
226,30,100,605992
227,30,100,272674
228,30,100,85389
229,30,100,556745
230,30,100,773306
231,30,100,121154
232,30,100,893263
233,30,100,928059
234,30,100,370104
235,30,100,866482
236,30,100,959984
237,30,100,968109
238,30,100,978606
239,30,100,208624
240,30,100,906196
241,30,100,93493
242,30,100,391403
243,30,100,491496
244,30,100,614667
245,30,100,19560
246,30,100,79960
247,30,100,91714
248,30,100,239027
249,30,100,502985
250,30,100,139223
251,30,100,831732
252,30,100,341780
253,30,100,837647
254,30,100,867748
255,30,100,462407
256,30,100,390461
257,30,100,111082
258,30,100,266709
259,30,100,741324
260,30,100,111989
261,30,100,615542
262,30,100,679971
263,30,100,164728
264,30,100,496444
265,30,100,92870
266,30,100,971517
267,30,100,607625
268,30,100,189460
269,30,100,406230
270,30,100,428075
271,30,100,941044
272,30,100,897945
273,30,100,31450
274,30,100,871838
275,30,100,115615
276,30,100,213815
277,30,100,794096
