"","vars","a2b","ab2","a3b","a2b2","ab3","clinic_name"
"1","resultnegative_resultpositive",0,0,0,0,0,"1 laboratory"
"2","resultnegative_pan_day",0,0,0,0,0,"1 laboratory"
"3","resultnegative_age",0,0,0,0,0,"1 laboratory"
"4","resultnegative_gendermale",0,0,0,0,0,"1 laboratory"
"5","resultnegative_demo_groupother adult",0,0,0,0,0,"1 laboratory"
"6","resultnegative_demo_grouppatient",0,0,0,0,0,"1 laboratory"
"7","resultnegative_payor_groupcommercial",0,0,0,0,0,"1 laboratory"
"8","resultnegative_payor_groupgovernment",0,0,0,0,0,"1 laboratory"
"9","resultnegative_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"10","resultnegative_payor_groupother",0,0,0,0,0,"1 laboratory"
"11","resultnegative_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"12","resultnegative_patient_classemergency",0,0,0,0,0,"1 laboratory"
"13","resultnegative_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"14","resultnegative_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"15","resultnegative_std_pan_day",0,0,0,0,0,"1 laboratory"
"16","resultnegative_std_age",0,0,0,0,0,"1 laboratory"
"17","resultnegative_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"18","resultpositive_pan_day",0,0,0,0,0,"1 laboratory"
"19","resultpositive_age",0,0,0,0,0,"1 laboratory"
"20","resultpositive_gendermale",0,0,0,0,0,"1 laboratory"
"21","resultpositive_demo_groupother adult",0,0,0,0,0,"1 laboratory"
"22","resultpositive_demo_grouppatient",0,0,0,0,0,"1 laboratory"
"23","resultpositive_payor_groupcommercial",0,0,0,0,0,"1 laboratory"
"24","resultpositive_payor_groupgovernment",0,0,0,0,0,"1 laboratory"
"25","resultpositive_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"26","resultpositive_payor_groupother",0,0,0,0,0,"1 laboratory"
"27","resultpositive_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"28","resultpositive_patient_classemergency",0,0,0,0,0,"1 laboratory"
"29","resultpositive_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"30","resultpositive_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"31","resultpositive_std_pan_day",0,0,0,0,0,"1 laboratory"
"32","resultpositive_std_age",0,0,0,0,0,"1 laboratory"
"33","resultpositive_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"34","pan_day_age",0.291496882911022,0.289462587466287,0.666645034404305,0.666637824118139,0.666645034404305,"1 laboratory"
"35","pan_day_gendermale",0.0121234845644293,-0.0882124408916702,0.26463732267501,0.144106986626672,0.0882124408916701,"1 laboratory"
"36","pan_day_demo_groupother adult",0,0,0,0,0,"1 laboratory"
"37","pan_day_demo_grouppatient",0,0,0,0,0,"1 laboratory"
"38","pan_day_payor_groupcommercial",-0.18610173728284,-0.0365758901258145,-0.109727670377443,0.0861142357205349,-0.0365758901258145,"1 laboratory"
"39","pan_day_payor_groupgovernment",0.18610173728284,-0.0365758901258145,0.109727670377443,0.086114235720535,0.0365758901258145,"1 laboratory"
"40","pan_day_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"41","pan_day_payor_groupother",0,0,0,0,0,"1 laboratory"
"42","pan_day_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"43","pan_day_patient_classemergency",0,0,0,0,0,"1 laboratory"
"44","pan_day_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"45","pan_day_drive_thru_ind",-0.322337664350713,-0.109727670377444,-0.190053900089902,0.258342707161605,-0.190053900089902,"1 laboratory"
"46","pan_day_std_pan_day",0.293512261144612,0.293512261144612,0.666666666666667,0.666666666666666,0.666666666666667,"1 laboratory"
"47","pan_day_std_age",0.291496882911023,0.289462587466287,0.666645034404305,0.666637824118139,0.666645034404305,"1 laboratory"
"48","pan_day_std_drive_thru_ind",-0.322337664350713,-0.109727670377444,-0.190053900089902,0.258342707161605,-0.190053900089902,"1 laboratory"
"49","age_gendermale",0.0085470085470085,-0.0889600854472706,0.266880256341812,0.145299145299145,0.0889600854472706,"1 laboratory"
"50","age_demo_groupother adult",0,0,0,0,0,"1 laboratory"
"51","age_demo_grouppatient",0,0,0,0,0,"1 laboratory"
"52","age_payor_groupcommercial",-0.188034188034188,-0.0355840341789083,-0.106752102536725,0.0854700854700855,-0.0355840341789083,"1 laboratory"
"53","age_payor_groupgovernment",0.188034188034188,-0.0355840341789083,0.106752102536725,0.0854700854700855,0.0355840341789083,"1 laboratory"
"54","age_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"55","age_payor_groupother",0,0,0,0,0,"1 laboratory"
"56","age_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"57","age_patient_classemergency",0,0,0,0,0,"1 laboratory"
