"","variable","type","n","mean","variance","target_3_moment","target_4_moment","std_mean","std_var","std_target_3_moment","std_target_4_moment","clinic_name"
"1","resultnegative","bin",3,1,0,0,0,1,0,0,0,"1 laboratory"
"2","resultpositive","bin",3,0,0,0,0,0,0,0,0,"1 laboratory"
"3","pan_day","num",3,69.6666666666667,296.333333333333,1497.25925925926,58542.2962962963,0,1,0.293512261194281,0.666666708993603,"1 laboratory"
"4","age","num",3,9.33333333333333,17.3333333333333,20.7407407407407,200.296296296296,0,1,0.287409507648445,0.666666681558186,"1 laboratory"
"5","gendermale","bin",3,0.666666666666667,0.333333333333333,-0.074074074074074,0.0740740740740741,0.6666667,0.3333333,-0.07407407,0.07407407,"1 laboratory"
"6","demo_groupother adult","bin",3,0,0,0,0,0,0,0,0,"1 laboratory"
"7","demo_grouppatient","bin",3,1,0,0,0,1,0,0,0,"1 laboratory"
"8","payor_groupcommercial","bin",3,0.333333333333333,0.333333333333333,0.0740740740740741,0.0740740740740741,0.3333333,0.3333333,0.07407407,0.07407407,"1 laboratory"
"9","payor_groupgovernment","bin",3,0.666666666666667,0.333333333333333,-0.074074074074074,0.0740740740740741,0.6666667,0.3333333,-0.07407407,0.07407407,"1 laboratory"
"10","payor_groupmedical assistance","bin",3,0,0,0,0,0,0,0,0,"1 laboratory"
"11","payor_groupother","bin",3,0,0,0,0,0,0,0,0,"1 laboratory"
"12","payor_groupself pay","bin",3,0,0,0,0,0,0,0,0,"1 laboratory"
"13","patient_classemergency","bin",3,0,0,0,0,0,0,0,0,"1 laboratory"
"14","patient_classoutpatient","bin",3,1,0,0,0,1,0,0,0,"1 laboratory"
"15","drive_thru_ind","num",3,0.333333333333333,0.333333333333333,0.0740740740740741,0.0740740740740741,0,1,0.384900216025272,0.666666763333346,"1 laboratory"
"16","std_pan_day","num",3,0.226789544919934,0.402942305206386,0.0750741715017096,0.108241667550024,0,1,0.293512260962156,0.666666883755838,"1 laboratory"
"17","std_age","num",3,0.218652791057785,0.198629073416502,0.0254428263877206,0.0263023392041988,0,1,0.287409489936872,0.666666508390799,"1 laboratory"
"18","std_drive_thru_ind","num",3,0.813164265802827,3.87850411645919,2.93998083026184,10.0285294542606,0,1,0.384900181875569,0.666666708604053,"1 laboratory"
"19","resultnegative","bin",2,1,0,0,0,1,0,0,0,"3  laboratory"
"20","resultpositive","bin",2,0,0,0,0,0,0,0,0,"3  laboratory"
"21","pan_day","num",2,86.5,112.5,0,3164.0625,0,1,0,0.249999960493827,"3  laboratory"
"22","age","num",2,13,8,0,16,0,1,0,0.25,"3  laboratory"
"23","gendermale","bin",2,0.5,0.5,0,0.0625,0.5,0.5,0,0.0625,"3  laboratory"
"24","demo_groupother adult","bin",2,0,0,0,0,0,0,0,0,"3  laboratory"
"25","demo_grouppatient","bin",2,1,0,0,0,1,0,0,0,"3  laboratory"
"26","payor_groupcommercial","bin",2,1,0,0,0,1,0,0,0,"3  laboratory"
"27","payor_groupgovernment","bin",2,0,0,0,0,0,0,0,0,"3  laboratory"
"28","payor_groupmedical assistance","bin",2,0,0,0,0,0,0,0,0,"3  laboratory"
"29","payor_groupother","bin",2,0,0,0,0,0,0,0,0,"3  laboratory"
"30","payor_groupself pay","bin",2,0,0,0,0,0,0,0,0,"3  laboratory"
"31","patient_classemergency","bin",2,0,0,0,0,0,0,0,0,"3  laboratory"
"32","patient_classoutpatient","bin",2,1,0,0,0,1,0,0,0,"3  laboratory"
"33","drive_thru_ind","num",2,0,0,0,0,0,0,0,0,"3  laboratory"
"34","std_pan_day","num",2,0.847517498451658,0.15297303487869,0,0.0058501873499992,0,1,0,0.250000000989489,"3  laboratory"
"35","std_age","num",2,0.611163756798747,0.0916749569614626,-3.46944695195361e-18,0.0021010744334715,0,1,-1.24992560219578e-16,0.249999931850301,"3  laboratory"
"36","std_drive_thru_ind","num",2,-0.323864628063286,0,0,0,0,0,0,0,"3  laboratory"
"37","resultnegative","bin",3,1,0,0,0,1,0,0,0,"anes resource ctr"
"38","resultpositive","bin",3,0,0,0,0,0,0,0,0,"anes resource ctr"
"39","pan_day","num",3,64.3333333333333,881.333333333333,6068.74074074075,517832.296296296,0,1,0.231946749405123,0.66666667148531,"anes resource ctr"
"40","age","num",3,11.4,215.08,1003.968,30839.6042666667,0,1,0.318287680123609,0.666666574433173,"anes resource ctr"
"41","gendermale","bin",3,0.666666666666667,0.333333333333333,-0.074074074074074,0.0740740740740741,0.66666667,0.3333333,-0.07407407,0.07407407,"anes resource ctr"
"42","demo_groupother adult","bin",3,0,0,0,0,0,0,0,0,"anes resource ctr"
"43","demo_grouppatient","bin",3,1,0,0,0,1,0,0,0,"anes resource ctr"
"44","payor_groupcommercial","bin",3,0.666666666666667,0.333333333333333,-0.074074074074074,0.0740740740740741,0.66666667,0.3333333,-0.07407407,0.07407407,"anes resource ctr"
"45","payor_groupgovernment","bin",3,0.333333333333333,0.333333333333333,0.0740740740740741,0.0740740740740741,0.33333333,0.3333333,0.07407407,0.07407407,"anes resource ctr"
"46","payor_groupmedical assistance","bin",3,0,0,0,0,0,0,0,0,"anes resource ctr"
"47","payor_groupother","bin",3,0,0,0,0,0,0,0,0,"anes resource ctr"
"48","payor_groupself pay","bin",3,0,0,0,0,0,0,0,0,"anes resource ctr"
"49","patient_classemergency","bin",3,0,0,0,0,0,0,0,0,"anes resource ctr"
"50","patient_classoutpatient","bin",3,1,0,0,0,1,0,0,0,"anes resource ctr"
"51","drive_thru_ind","num",3,0,0,0,0,0,0,0,0,"anes resource ctr"
"52","std_pan_day","num",3,0.030123262612853,1.19840208657557,0.304293114470492,0.957445040739123,0,1,0.23194674208699,0.666666623364195,"anes resource ctr"
"53","std_age","num",3,0.439886244475418,2.46468121790892,1.23157527699345,4.04976900394201,0,1,0.318287684369745,0.666666675706037,"anes resource ctr"
"54","std_drive_thru_ind","num",3,-0.323864628063286,0,0,0,0,0,0,0,"anes resource ctr"
"55","resultnegative","bin",3,1,0,0,0,1,0,0,0,"autopsy"
"56","resultpositive","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"57","pan_day","num",3,51.3333333333333,369.333333333333,1194.07407407407,90938.0740740741,0,1,0.168230014974029,0.666666636919983,"autopsy"
"58","age","num",3,18,0,0,0,0,0,0,0,"autopsy"
"59","gendermale","bin",3,1,0,0,0,1,0,0,0,"autopsy"
"60","demo_groupother adult","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"61","demo_grouppatient","bin",3,1,0,0,0,1,0,0,0,"autopsy"
"62","payor_groupcommercial","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"63","payor_groupgovernment","bin",3,1,0,0,0,1,0,0,0,"autopsy"
"64","payor_groupmedical assistance","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"65","payor_groupother","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"66","payor_groupself pay","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"67","patient_classemergency","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"68","patient_classoutpatient","bin",3,0,0,0,0,0,0,0,0,"autopsy"
"69","drive_thru_ind","num",3,0,0,0,0,0,0,0,0,"autopsy"
"70","std_pan_day","num",3,-0.449250800510657,0.50220480783878,0.0598721438978657,0.168139779344257,0,1,0.168230018373839,0.666666769377403,"autopsy"
"71","std_age","num",3,1.14640598280915,0,0,0,0,0,0,0,"autopsy"
"72","std_drive_thru_ind","num",3,-0.323864628063286,0,0,0,0,0,0,0,"autopsy"
"73","resultnegative","bin",2,1,0,0,0,1,0,0,0,"cardiac echo"
"74","resultpositive","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"75","pan_day","num",2,34.5,12.5,0,39.0625,0,1,0,0.25,"cardiac echo"
"76","age","num",2,3,0,0,0,0,0,0,0,"cardiac echo"
"77","gendermale","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"78","demo_groupother adult","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"79","demo_grouppatient","bin",2,1,0,0,0,1,0,0,0,"cardiac echo"
"80","payor_groupcommercial","bin",2,1,0,0,0,1,0,0,0,"cardiac echo"
"81","payor_groupgovernment","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"82","payor_groupmedical assistance","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"83","payor_groupother","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"84","payor_groupself pay","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"85","patient_classemergency","bin",2,0,0,0,0,0,0,0,0,"cardiac echo"
"86","patient_classoutpatient","bin",2,1,0,0,0,1,0,0,0,"cardiac echo"
"87","drive_thru_ind","num",2,0,0,0,0,0,0,0,0,"cardiac echo"
"88","std_pan_day","num",2,-1.06997875404238,0.01699700387541,-1.40946282423116e-18,7.22245351851753e-05,0,1,-6.36055874465494e-16,0.250000130668952,"cardiac echo"
"89","std_age","num",2,-0.459320695222058,0,0,0,0,0,0,0,"cardiac echo"
"90","std_drive_thru_ind","num",2,-0.323864628063286,0,0,0,0,0,0,0,"cardiac echo"
"91","resultnegative","bin",7,1,0,0,0,1,0,0,0,"cardiac ekg"
"92","resultpositive","bin",7,0,0,0,0,0,0,0,0,"cardiac ekg"
"93","pan_day","num",7,69.2857142857143,1034.57142857143,-18390.4023323615,1632574.68554769,0,1,-0.552650356786402,1.52528914945852,"cardiac ekg"
"94","age","num",7,7.41428571428571,76.4547619047619,290.127026239067,6867.05102582257,0,1,0.433991613345834,1.17479257371865,"cardiac ekg"
"95","gendermale","bin",7,0.571428571428571,0.285714285714286,-0.0349854227405248,0.0649729279466889,0.57142857,0.2857143,-0.03498542,0.06497293,"cardiac ekg"
"96","demo_groupother adult","bin",7,0,0,0,0,0,0,0,0,"cardiac ekg"
"97","demo_grouppatient","bin",7,1,0,0,0,1,0,0,0,"cardiac ekg"
"98","payor_groupcommercial","bin",7,0.428571428571429,0.285714285714286,0.0349854227405248,0.0649729279466889,0.42857143,0.2857143,0.03498542,0.06497293,"cardiac ekg"
"99","payor_groupgovernment","bin",7,0.571428571428571,0.285714285714286,-0.0349854227405248,0.0649729279466889,0.57142857,0.2857143,-0.03498542,0.06497293,"cardiac ekg"
"100","payor_groupmedical assistance","bin",7,0,0,0,0,0,0,0,0,"cardiac ekg"
"101","payor_groupother","bin",7,0,0,0,0,0,0,0,0,"cardiac ekg"
"102","payor_groupself pay","bin",7,0,0,0,0,0,0,0,0,"cardiac ekg"
"103","patient_classemergency","bin",7,0,0,0,0,0,0,0,0,"cardiac ekg"
"104","patient_classoutpatient","bin",7,1,0,0,0,1,0,0,0,"cardiac ekg"
"105","drive_thru_ind","num",7,0,0,0,0,0,0,0,0,"cardiac ekg"
"106","std_pan_day","num",7,0.212741953326571,1.40676916646536,-0.922114329997997,3.0185458641604,0,1,-0.552650389159294,1.52528885167562,"cardiac ekg"
"107","std_age","num",7,0.013221727169983,0.87612337588974,0.355901057308265,0.901761583981255,0,1,0.433991686699781,1.17479253419995,"cardiac ekg"
"108","std_drive_thru_ind","num",7,-0.323864628063286,0,0,0,0,0,0,0,"cardiac ekg"
"109","resultnegative","bin",215,0.893023255813953,0.0959791349706585,-0.0750931616084118,0.068153218394402,0.89302326,0.09597913,-0.07509316,0.06815322,"care ntwk"
"110","resultpositive","bin",215,0.106976744186047,0.0959791349706585,0.0750931616084118,0.068153218394402,0.10697674,0.09597913,0.07509316,0.06815322,"care ntwk"
"111","pan_day","num",215,64.2046511627907,738.042034340361,-3051.6105482033,966527.60780218,0,1,-0.152197502466041,1.77440219333546,"care ntwk"
"112","age","num",215,7.74790697674419,44.5417596174745,231.282477077389,7122.53017051399,0,1,0.778021714689252,3.59004214953094,"care ntwk"
