"","resultnegative","resultpositive","pan_day","age","gendermale","demo_groupother adult","demo_grouppatient","payor_groupcommercial","payor_groupgovernment","payor_groupmedical assistance","payor_groupother","payor_groupself pay","patient_classemergency","patient_classoutpatient","drive_thru_ind","std_pan_day","std_age","std_drive_thru_ind","clinic_name"
"resultnegative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"resultpositive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"pan_day",0,0,1,0.999967551606457,0.396955984012516,0,0,-0.164591505566165,0.164591505566165,0,0,0,0,0,-0.285080850134854,1,0.999967551606457,-0.285080850134854,"1 laboratory"
"age",0,0,0.999967551606457,1,0.400320384512718,0,0,-0.160128153805087,0.160128153805087,0,0,0,0,0,-0.277350098112615,0.999967551606457,1,-0.277350098112615,"1 laboratory"
"gendermale",0,0,0.396955984012516,0.400320384512718,0.333333333333333,0,0,0.166666666666667,-0.166666666666667,0,0,0,0,0,0.288675134594813,0.396955984012516,0.400320384512718,0.288675134594813,"1 laboratory"
"demo_groupother.adult",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"demo_grouppatient",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"payor_groupcommercial",0,0,-0.164591505566165,-0.160128153805087,0.166666666666667,0,0,0.333333333333333,-0.333333333333333,0,0,0,0,0,0.577350269189626,-0.164591505566165,-0.160128153805087,0.577350269189626,"1 laboratory"
"payor_groupgovernment",0,0,0.164591505566165,0.160128153805087,-0.166666666666667,0,0,-0.333333333333333,0.333333333333333,0,0,0,0,0,-0.577350269189626,0.164591505566165,0.160128153805087,-0.577350269189626,"1 laboratory"
"payor_groupmedical.assistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"payor_groupother",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"payor_groupself.pay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"patient_classemergency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"patient_classoutpatient",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"drive_thru_ind",0,0,-0.285080850134854,-0.277350098112615,0.288675134594813,0,0,0.577350269189626,-0.577350269189626,0,0,0,0,0,1,-0.285080850134854,-0.277350098112615,1,"1 laboratory"
"std_pan_day",0,0,1,0.999967551606457,0.396955984012516,0,0,-0.164591505566165,0.164591505566165,0,0,0,0,0,-0.285080850134854,1,0.999967551606457,-0.285080850134854,"1 laboratory"
"std_age",0,0,0.999967551606457,1,0.400320384512718,0,0,-0.160128153805087,0.160128153805087,0,0,0,0,0,-0.277350098112615,0.999967551606457,1,-0.277350098112615,"1 laboratory"
"std_drive_thru_ind",0,0,-0.285080850134854,-0.277350098112615,0.288675134594813,0,0,0.577350269189626,-0.577350269189626,0,0,0,0,0,1,-0.285080850134854,-0.277350098112615,1,"1 laboratory"
"resultnegative.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"resultpositive.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"pan_day.1",0,0,1,1,-0.707106781186547,0,0,0,0,0,0,0,0,0,0,1,1,0,"3  laboratory"
"age.1",0,0,1,1,-0.707106781186547,0,0,0,0,0,0,0,0,0,0,1,1,0,"3  laboratory"
"gendermale.1",0,0,-0.707106781186547,-0.707106781186547,0.5,0,0,0,0,0,0,0,0,0,0,-0.707106781186548,-0.707106781186548,0,"3  laboratory"
"demo_groupother.adult.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"demo_grouppatient.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"payor_groupcommercial.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"payor_groupgovernment.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"payor_groupmedical.assistance.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"payor_groupother.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"payor_groupself.pay.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"patient_classemergency.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"patient_classoutpatient.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"drive_thru_ind.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"std_pan_day.1",0,0,1,1,-0.707106781186548,0,0,0,0,0,0,0,0,0,0,1,1,0,"3  laboratory"
"std_age.1",0,0,1,1,-0.707106781186548,0,0,0,0,0,0,0,0,0,0,1,1,0,"3  laboratory"
"std_drive_thru_ind.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3  laboratory"
"resultnegative.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"resultpositive.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"pan_day.2",0,0,1,0.99407039532154,0.123509775522106,0,0,-0.550179909143925,0.550179909143925,0,0,0,0,0,0,1,0.99407039532154,0,"anes resource ctr"
"age.2",0,0,0.99407039532154,1,0.184104222894218,0,0,-0.565950018526669,0.565950018526669,0,0,0,0,0,0,0.99407039532154,1,0,"anes resource ctr"
"gendermale.2",0,0,0.123509775522106,0.184104222894218,0.333333333333333,0,0,-0.166666666666667,0.166666666666667,0,0,0,0,0,0,0.123509775522106,0.184104222894218,0,"anes resource ctr"
"demo_groupother.adult.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"demo_grouppatient.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"payor_groupcommercial.2",0,0,-0.550179909143925,-0.565950018526669,-0.166666666666667,0,0,0.333333333333333,-0.333333333333333,0,0,0,0,0,0,-0.550179909143925,-0.565950018526669,0,"anes resource ctr"
"payor_groupgovernment.2",0,0,0.550179909143925,0.565950018526669,0.166666666666667,0,0,-0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.550179909143925,0.565950018526669,0,"anes resource ctr"
"payor_groupmedical.assistance.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"payor_groupother.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"payor_groupself.pay.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"patient_classemergency.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"patient_classoutpatient.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"drive_thru_ind.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"std_pan_day.2",0,0,1,0.99407039532154,0.123509775522106,0,0,-0.550179909143925,0.550179909143925,0,0,0,0,0,0,1,0.99407039532154,0,"anes resource ctr"
"std_age.2",0,0,0.99407039532154,1,0.184104222894218,0,0,-0.565950018526669,0.565950018526669,0,0,0,0,0,0,0.99407039532154,1,0,"anes resource ctr"
"std_drive_thru_ind.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anes resource ctr"
"resultnegative.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"resultpositive.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"pan_day.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"autopsy"
"age.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"gendermale.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"demo_groupother.adult.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"demo_grouppatient.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"payor_groupcommercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"payor_groupgovernment.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"payor_groupmedical.assistance.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"payor_groupother.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"payor_groupself.pay.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"patient_classemergency.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"patient_classoutpatient.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"drive_thru_ind.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"std_pan_day.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"autopsy"
"std_age.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"std_drive_thru_ind.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"autopsy"
"resultnegative.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"resultpositive.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"pan_day.4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"cardiac echo"
"age.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"gendermale.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
